Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2001,BMW,F650 GS,5,TDImiser,22.9,53.9,4.37,650,,http://www.fuelly.com/driver/TDImiser/
2003,BMW,F650 GS,17,ChristoffGS,23.6,55.5,4.24,650,,http://www.fuelly.com/driver/ChristoffGS/
2003,BMW,F650 GS,52,existent80,24.1,56.7,4.15,650,,http://www.fuelly.com/driver/existent80/
2004,BMW,F650 GS,2,RDT953,24.3,57.2,4.12,650,,http://www.fuelly.com/driver/RDT953/
2002,BMW,F650 GS,7,steveyg,24.3,57.2,4.12,650,,http://www.fuelly.com/driver/steveyg/
2006,BMW,F650 GS,26,existent80,24.4,57.4,4.10,650,,http://www.fuelly.com/driver/existent80/
2009,BMW,F650 GS,37,dawidmocke,24.6,57.9,4.07,650,,http://www.fuelly.com/driver/dawidmocke/
2002,BMW,F650 GS,4,tessitori,24.7,58.1,4.05,650,,http://www.fuelly.com/driver/tessitori/
2003,BMW,F650 GS,31,SudanBlackB,25,58.8,4.00,650,,http://www.fuelly.com/driver/SudanBlackB/
2001,BMW,F650 GS,7,gsbro,25,58.8,4.00,650,,http://www.fuelly.com/driver/gsbro/
2006,BMW,F650 GS,3,PHC,25.1,59.0,3.98,650,,http://www.fuelly.com/driver/PHC/
2003,BMW,F650 GS,6,jcarpino,25.6,60.2,3.91,650,,http://www.fuelly.com/driver/jcarpino/
2004,BMW,F650 GS,46,atomicalex,25.7,60.5,3.89,650,,http://www.fuelly.com/driver/atomicalex/
2001,BMW,F650 GS,2,robertsond,26.1,61.4,3.83,650,,http://www.fuelly.com/driver/robertsond/
2006,BMW,F650 GS,25,MistaH,26.2,61.6,3.82,650,,http://www.fuelly.com/driver/MistaH/
2001,BMW,F650 GS,12,astmc,27.3,64.2,3.66,650,,http://www.fuelly.com/driver/astmc/
2004,BMW,F650 GS,5,ar1814,28,65.9,3.57,650,,http://www.fuelly.com/driver/ar1814/
2007,BMW,F650 GS,7,balarsen.,28.8,67.7,3.47,650,,http://www.fuelly.com/driver/balarsen./
2004,BMW,F650 GS,1,cdarken,28.9,68.0,3.46,650,,http://www.fuelly.com/driver/cdarken/
2003,BMW,F650 GS Dakar,1,Yetigreenline2,16.7,39.3,5.99,650,,http://www.fuelly.com/driver/Yetigreenline2/
2002,BMW,F650 GS Dakar,2,Aneug,18,42.3,5.56,650,,http://www.fuelly.com/driver/Aneug/
2007,BMW,F650 GS Dakar,4,brulpadda,18.3,43.0,5.46,650,,http://www.fuelly.com/driver/brulpadda/
2003,BMW,F650 GS Dakar,14,alexTH3man,18.8,44.2,5.32,650,,http://www.fuelly.com/driver/alexTH3man/
2002,BMW,F650 GS Dakar,8,wvb,19,44.7,5.26,650,,http://www.fuelly.com/driver/wvb/
2001,BMW,F650 GS Dakar,12,rcrabb,20.2,47.5,4.95,650,,http://www.fuelly.com/driver/rcrabb/
