Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2009,Honda,Metropolitan,24,brian83,42,1008,,,
2011,Honda,PCX,29,spyrakos77,42,1218,,,
2013,Honda,PCX150,2,PDXLove,42,84,150,,
2008,Honda,Wave125X,22,annoyingmous01,42,924,125,,
2010,SYM,Symba,46,Buffalo66,42,1932,,,
2010,SYM,Symba,75,sonjilitared,42,3150,,,
2012,Yamaha,Zuma,5,mckeeb,42,210,,,
1981,Honda,CB250N Superdream,4,alexfitu,41.9,167.6,250,,
2012,Honda,PCX,22,Pluzbrut,41.9,921.8,,,
2011,Honda,PCX,4,fnunes,41.9,167.6,,,
2001,Suzuki,FD110,4,shogun110tromol,41.9,167.6,110,,
2011,SYM,GTS EVO 125i,5,JRosa,41.9,209.5,125,,
2012,Yamaha,YBR 125,23,Goldfishdave,41.9,963.7,125,,
2011,Yamaha,YBR 125,21,cbannister,41.9,879.9,125,,
2009,Yamaha,Zuma 125,34,AeroKen,41.9,1424.6,125,,
2012,Bajaj,Pulsar 135 LS,2,hiantoro,41.8,83.6,135,,
2009,Genuine,Buddy 125,16,smarkum,41.8,668.8,125,,
2010,Honda,Brava Nevada 110,9,alecavallo,41.8,376.2,110,,
2012,Honda,CBF125,11,wizz1969,41.8,459.8,125,,
2012,Honda,CBF125,2,parashoot,41.8,83.6,125,,
2007,Honda,CBR125R,4,2007CBR125R,41.8,167.2,125,,
2011,Honda,PCX,48,medvegyev,41.8,2006.4,,,
2011,Honda,PCX,1,Nightster,41.8,41.8,,,
1983,Jawa,207 Moped,4,tiger1342,41.8,167.2,207,,http://www.fuelly.com/driver/tiger1342/207 Moped
2010,SYM,Symba,23,mainesymba,41.8,961.4,,,
2009,Genuine,Buddy 125,10,Sollo,41.7,417,125,,
2012,Honda,PCX,4,u5n36,41.7,166.8,,,
2011,Honda,PCX,49,Tekmaniac,41.7,2043.3,,,
2011,Honda,PCX,6,Tonypcx,41.7,250.2,,,
2007,Honda,Ruckus &bull; Gas,6,VanScoot,41.7,250.2,,,
2008,Yamaha,C3,3,Riotgear,41.7,125.1,50,Scooter,
2008,Genuine,Buddy 125,40,tedtoons,41.6,1664,125,,
2008,Genuine,Buddy 125,12,twoscoots.,41.6,499.2,125,,
2007,Honda,CBR125R,2,nhynes,41.6,83.2,125,,
2011,Honda,PCX,27,carlmt,41.6,1123.2,,,
2011,Honda,PCX,8,ghoschpl,41.6,332.8,,,
2011,Yamaha,XTZ 250 Tenere,1,hawpgl,41.6,41.6,250,,
2011,Bajaj,Pulsar 135 LS,1,linkinparklive,41.5,41.5,135,,
2011,Honda,PCX,4,Ratty,41.5,166,,,
2010,Kymco,Yager GT 200i,3,DaveABQ,41.5,124.5,200,,
2009,Vespa,S 50,7,Rat,41.5,290.5,50,,
2009,Genuine,Buddy 150,3,wannascoot.,41.4,124.2,150,,
2011,Honda,CBR125R,13,TrueG,41.4,538.2,125,,
2011,Honda,PCX,43,rolfw,41.4,1780.2,,,
2013,Honda,PCX150,8,sendler,41.4,331.2,150,,
2013,Honda,PCX150,9,chrisdurand,41.4,372.6,150,,
1998,Suzuki,Fx125,1,mimalif,41.4,41.4,125,,
2012,Cleveland,CycleWerks Tha Heist,13,n3cr0,41.3,536.9,,,
1981,Honda,CM200T,3,stashmikols,41.3,123.9,200,,
